,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.0,0.8898488120950323,0.8569942797711908,0.8264794383149447,0.7980629539951574,0.771318917906955,0.7463092111221808,0.7228704272304588,0.7008590626860594,0.6801485761452744,0.6591472682185425,0.6394040505936215,0.6208091614555865,0.6032652463577128,0.5866856532573869,0.5709930011780195,0.5561179725990416,0.5419982898112214,0.5285778433510808,0.5158059467918623,0.5035443656807627,0.4918522055751208,0.48069070120172674,0.4700245279790086,0.45982142857142855,0.45005188705008464,0.4406888437266017,0.43170744485775653,0.4230848223454508,0.4147998993204128,0.40683321812975215,0.39916678777309494,0.39178394826930385,0.3846692498015965,0.37780834479596515,0.371187891346457,0.36479546661944395,0.35861948905427166,0.35264914833518785,0.34687434224373814
10M,1.0,0.8140214216163584,0.7843627834245505,0.7567893783946892,0.7310887625710538,0.7082945013979497,0.6868786459617123,0.6667198341175532,0.6477105446656852,0.6297551789077213,0.613307901107769,0.5976978623007079,0.5828627204908318,0.5687461732090618,0.5552972434407173,0.5424696645253391,0.5302213483858692,0.5185139242076537,0.5073123369136476,0.49658449658449655,0.48640707501200015,0.4766384446534964,0.4672544608548633,0.45823284367463274,0.4495530012771392,0.44119587302424995,0.433143789749103,0.4253803490561237,0.4178903037952537,0.41065946211469967,0.40367459771363734,0.39692336910075016,0.39039424682162577,0.3840764477522799,0.3779598756710935,0.37203506742023057,0.3662931440526656,0.36072576643438115,0.3553250948348227,0.3500837520938023
100M,1.0,0.48238276299112803,0.4606632776567417,0.44081538105165624,0.4226071507883633,0.41394762029061166,0.4056358443108667,0.39765128719491805,0.3899749989753678,0.3825894652191395,0.37663031646446454,0.37085395798417586,0.36525210648548007,0.35981697171381033,0.3545412203074057,0.3494179427857956,0.34444062335969877,0.33960311228495965,0.33489960051387646,0.3303245964242319,0.32632833466231104,0.32242761051151286,0.3186190384502692,0.31489939105109876,0.3112655898589246,0.30771469689374703,0.30424390672837875,0.30085053909634174,0.29753203198899303,0.29428593520451557,0.29110990431463735,0.2880016950178582,0.2849591578506024,0.2819802332301036,0.27906294680500054,0.2762054050915847,0.2734057913754337,0.27066236185979037,0.26797344204352636,0.26533742331288346
1G,1.0,0.17493024254131787,0.1677437945087062,0.16112451069550435,0.1550077979383012,0.15326924234217967,0.1515692532006219,0.14990656130902455,0.14827995255041518,0.1466882649388049,0.14592554395313195,0.14517071363429093,0.1444236521640511,0.14368424021889367,0.14295236090647584,0.14222789970402636,0.1415107443986054,0.14080078502916218,0.14009791383032855,0.13940202517788725,0.13902488118916595,0.13864977237620194,0.13827668230974657,0.13790559473691336,0.1375364935788177,0.13716936292825455,0.13680418704741315,0.13644095036562828,0.13607963747716703,0.1357202331390508,0.13536272226891174,0.13500708994288288,0.13465332139352143,0.13430140200776475,0.13395131732491822,0.13360305303467448,0.1332565949751636,0.13291192913103322,0.13256904163155891,0.13222791874878317
