,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.751,1.774,1.766,1.758,1.75,1.7488,1.7476,1.7464,1.7452,1.744,1.7442,1.7444,1.7446,1.7448,1.745,1.7452,1.7454,1.7456,1.7458,1.746,1.7534,1.7608,1.7682,1.7756,1.783,1.7904,1.7978,1.8052,1.8126,1.8199999999999998,1.8274,1.8348,1.8421999999999998,1.8496,1.857,1.8643999999999998,1.8718,1.8792,1.8865999999999998,1.894
10M,2.375,2.416,2.408333333333333,2.4006666666666665,2.393,2.3928,2.3926,2.3924,2.3922,2.392,2.3899,2.3878,2.3857,2.3836,2.3815,2.3794,2.3773,2.3752,2.3731,2.371,2.37195,2.3729,2.37385,2.3748,2.37575,2.3767,2.37765,2.3786,2.37955,2.3805,2.38145,2.3824,2.38335,2.3843,2.38525,2.3862,2.38715,2.3881,2.38905,2.39
100M,8.977,8.868,8.838000000000001,8.808,8.778,8.788400000000001,8.7988,8.8092,8.8196,8.83,8.8415,8.853,8.8645,8.876,8.8875,8.899000000000001,8.9105,8.922,8.9335,8.945,8.946200000000001,8.9474,8.9486,8.9498,8.951,8.9522,8.9534,8.9546,8.9558,8.957,8.9582,8.9594,8.9606,8.9618,8.963,8.9642,8.965399999999999,8.9666,8.967799999999999,8.969
1G,71.553,71.18299999999999,71.499,71.815,72.131,72.014,71.89699999999999,71.78,71.663,71.54599999999999,71.5959,71.6458,71.69569999999999,71.7456,71.7955,71.8454,71.89529999999999,71.9452,71.99510000000001,72.045,72.07095,72.0969,72.12285,72.1488,72.17475,72.2007,72.22664999999999,72.2526,72.27855,72.30449999999999,72.33045,72.3564,72.38235,72.4083,72.43424999999999,72.4602,72.48615,72.51209999999999,72.53805,72.564
