,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.0,0.8921832884097035,0.8588479501816295,0.8279139569784892,0.7991308546595847,0.772642390289449,0.7478535924084952,0.7246059544658493,0.7027600849256901,0.6821929101401484,0.6609160975999361,0.6409263418790179,0.6221102883133481,0.6043675138767164,0.5876087342446299,0.5717543011124162,0.5567329363877956,0.5424806608102793,0.5289398830259836,0.5160586217648894,0.5036058789520129,0.4917399572141669,0.48042033150454294,0.46961012428352533,0.4592757041764951,0.4493863364831107,0.4399138778873502,0.43083250898110065,0.4221184992475833,0.41375,0.4057068614713309,0.39797047083152987,0.39052360839094835,0.3833503196516261,0.3764358012055044,0.3697662987622325,0.36332901582841215,0.3571120317624719,0.3511042281010671,0.34529522219904024
10M,1.0,0.8441940225379717,0.8124803520905376,0.7830631722466295,0.755701754385965,0.7321322342143284,0.7099884621724083,0.6891448684105272,0.6694902082685733,0.650925576123914,0.6331532723330762,0.6163256546000859,0.6003693508484617,0.5852183954894369,0.5708133178731158,0.557100362131402,0.544030816835591,0.5315604368482755,0.5196489429079832,0.508259587020649,0.49773951728222093,0.48764610986896106,0.4779539244649718,0.4686395038894631,0.45968118455279133,0.4510589282441949,0.44275417250195936,0.4347496972143722,0.42702950543390705,0.41957871666869595,0.41238347115350094,0.4054308438044143,0.39870876673338806,0.392205959345337,0.3859118651660227,0.3798165946565558,0.3739108733629192,0.3681859948287283,0.3626337777684237,0.3572465270578478
100M,1.0,0.6291291291291291,0.6114308877178759,0.5947011512379751,0.5788625374165323,0.5658338960162053,0.5533788245652652,0.5414602627611458,0.5300442757748259,0.51909973157134,0.5118078175895765,0.5047179281268821,0.4978217821782178,0.4911115452236765,0.4845797995373939,0.4782195168346965,0.4720240330454374,0.4659870250231695,0.4601024890190336,0.4543647207663112,0.4489365881533598,0.44363662031481604,0.4384603310253413,0.4334034410233424,0.4284618662121857,0.4236317066594769,0.41890923633212795,0.4142908935104314,0.40977327182930995,0.4053531118993873,0.4010272934645631,0.3967928280564411,0.39264685210926636,0.38858662050204024,0.38460950049720793,0.3807129660477935,0.37689459244711626,0.37315205129727474,0.3694831057744595,0.365885606170863
1G,1.0,0.45761512974200513,0.4567875236903715,0.4559629057187016,0.45514125967341795,0.46193507655074445,0.468934787087126,0.4761498950239004,0.483590498146997,0.49126733543823187,0.4885454921225418,0.48585364311180324,0.4831912953237523,0.48055796642505844,0.4779531845400109,0.47537648796862797,0.47282742491383556,0.47030555321737666,0.467810440104127,0.46534166193450693,0.46347128378378377,0.4616158809082101,0.45977527417448416,0.4579492872949995,0.45613774677156005,0.45434048184042636,0.452557324418656,0.45078810905170197,0.4490326728622362,0.44729085550016373,0.4455624990937958,0.44384744820215066,0.442145549768352,0.44045665307409504,0.4387806096951524,0.4371172734578921,0.4354665003967804,0.4338281487128447,0.43220207873306987,0.43058815287070445
