,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.0,1.6566037735849057,1.9325018341892883,2.318661971830986,2.897689768976898,3.017914189817623,3.1485465974771127,3.2909996913171935,3.4469539513186462,3.6184242424242425,3.591002044989775,3.563992359121299,3.5373859462021566,3.5111738414490707,3.4853473438412137,3.459898006490496,3.434817627430675,3.4100982408042033,3.3857321084269025,3.3617117117117115,3.3167046275206933,3.2728867448744654,3.2302115457447385,3.1886349070711386,3.148114948589507,3.1086118921170467,3.0700879313004577,3.032507110930516,2.9958352150132974,2.960039662865642,2.9250894125716522,2.890954871198915,2.857607811228641,2.8250212927037004,2.793169590643275,2.7620281273131013,2.7315734089765296,2.7017829667843247,2.6726353014906667,2.6441098317094776
10M,1.0,1.9288647065579416,2.3656900376800363,3.05829463716653,4.324332153202446,4.735315471533196,5.232622445164506,5.8466418917154765,6.6239227750497935,7.639563313811338,7.828658330517067,8.027351918458063,8.236393953140517,8.456614509246087,8.688934876802689,8.934380444468088,9.19409582985479,9.469362727823745,9.761621063950363,10.072494189969262,10.115530124790602,10.158935389966352,10.202714760322733,10.246873093349603,10.291415330997108,10.336346501519406,10.381671721366894,10.427396197128443,10.473525227525188,10.520064205457464,10.567018620106568,10.614394059093062,10.662196210693383,10.710430866116624,10.759103921843407,10.808221382028798,10.857789360971372,10.907814085650497,10.958301898334113,11.00925925925926
100M,1.0,1.9818845757635302,2.44108784779861,3.177259970152388,4.54918128015527,5.029071546375085,5.622148442316821,6.37380993189215,7.357479021690113,8.700175790567432,9.086650750164146,9.509057456026946,9.972651234701996,10.483764786667235,11.050099185763731,11.681114583680639,12.388562888850426,13.187226489216073,14.0959624087058,15.13921013429764,15.244094650476708,15.350442586035337,15.458284784063881,15.567652960518624,15.678579735319664,15.79109866478786,15.905244275488585,16.021052099554026,16.138558711559874,16.257801767036888,16.378820042702422,16.501653478502302,16.626343221558734,16.752931672125868,16.88146253166082,17.01198085312466,17.144533093634966,17.27916716959925,17.41593251446665,17.55488013924418
1G,1.0,1.9768433105012375,2.441333767890986,3.19114307076346,4.605694743375118,5.089140217332121,5.6859798656896965,6.441409777713847,7.428324760305658,8.772376826880112,9.193953227663128,9.658094808459728,10.171590811949216,10.74275542424773,11.38188139733541,12.10186584043129,12.919089564777952,13.854678516619616,14.936356114021704,16.201236771083988,16.310421651738835,16.421088175411587,16.533266707057916,16.646988447077728,16.762285460246595,16.879190705857834,16.997738069134783,17.117962393976114,17.239899517100714,17.363586303662377,17.489060684408667,17.61636169446263,17.74552951381066,17.87660550958474,18.009632280232484,18.144653701674116,18.28171497555137,18.42086267967989,18.562144820823253,18.705610889914418
