,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.831,1.981,2.077,2.173,2.269,2.3794,2.4898000000000002,2.6002,2.7106000000000003,2.821,2.9373,3.0536000000000003,3.1699,3.2862,3.4025,3.5188,3.6351,3.7514000000000003,3.8677,3.984,4.106,4.228,4.35,4.472,4.594,4.716,4.838,4.96,5.082000000000001,5.204000000000001,5.3260000000000005,5.448,5.57,5.692,5.814,5.936,6.058,6.180000000000001,6.3020000000000005,6.424
10M,3.761,3.251,3.2046666666666668,3.158333333333333,3.112,3.1964,3.2808,3.3651999999999997,3.4495999999999998,3.534,3.6298999999999997,3.7258,3.8217,3.9176,4.0135000000000005,4.1094,4.2053,4.301200000000001,4.3971,4.493,4.6056,4.7182,4.8308,4.9434000000000005,5.056,5.1686000000000005,5.2812,5.393800000000001,5.5064,5.619,5.7316,5.844200000000001,5.9568,6.0694,6.182,6.2946,6.4072000000000005,6.5198,6.6324000000000005,6.745
100M,24.319,15.354,14.112,12.87,11.628,11.374,11.120000000000001,10.866,10.612,10.358,10.424000000000001,10.49,10.556000000000001,10.622,10.688,10.754000000000001,10.82,10.886000000000001,10.952,11.018,11.0973,11.1766,11.2559,11.3352,11.4145,11.4938,11.5731,11.6524,11.7317,11.811,11.8903,11.9696,12.0489,12.1282,12.2075,12.2868,12.3661,12.4454,12.5247,12.604
1G,234.824,146.442,128.66666666666669,110.89133333333334,93.116,89.1964,85.2768,81.3572,77.4376,73.518,72.7994,72.0808,71.3622,70.64359999999999,69.925,69.2064,68.4878,67.7692,67.05059999999999,66.332,66.3711,66.41019999999999,66.4493,66.4884,66.5275,66.5666,66.6057,66.6448,66.6839,66.723,66.7621,66.8012,66.8403,66.8794,66.9185,66.9576,66.9967,67.03580000000001,67.0749,67.114
