,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,14.926,9.01,7.7236666666666665,6.437333333333333,5.151,4.9458,4.7406,4.5354,4.3302,4.125,4.1565,4.188,4.2195,4.251,4.282500000000001,4.314,4.3455,4.377000000000001,4.4085,4.44,4.50025,4.5605,4.62075,4.681,4.74125,4.8015,4.86175,4.922,4.98225,5.0425,5.10275,5.163,5.22325,5.2835,5.34375,5.404,5.46425,5.5245,5.58475,5.645
10M,134.357,69.656,56.794000000000004,43.932,31.07,28.3734,25.6768,22.9802,20.2836,17.587,17.1622,16.7374,16.3126,15.8878,15.463000000000001,15.0382,14.6134,14.188600000000001,13.7638,13.339,13.282250000000001,13.2255,13.168750000000001,13.112,13.055250000000001,12.9985,12.94175,12.885,12.82825,12.7715,12.71475,12.658000000000001,12.60125,12.544500000000001,12.48775,12.431000000000001,12.37425,12.3175,12.260750000000002,12.204
100M,1331.327,671.748,545.3826666666666,419.01733333333334,292.652,264.7262,236.8004,208.8746,180.9488,153.023,146.5146,140.0062,133.49779999999998,126.98939999999999,120.481,113.9726,107.4642,100.9558,94.44739999999999,87.939,87.33394999999999,86.7289,86.12384999999999,85.5188,84.91375,84.30869999999999,83.70365,83.09859999999999,82.49355,81.8885,81.28344999999999,80.6784,80.07334999999999,79.4683,78.86325,78.25819999999999,77.65315,77.04809999999999,76.44305,75.838
1G,13290.879,6723.284,5444.105666666666,4164.927333333333,2885.749,2611.6158,2337.4826,2063.3494,1789.2162,1515.083,1445.6109000000001,1376.1388000000002,1306.6667,1237.1946,1167.7225,1098.2504,1028.7783,959.3062,889.8341,820.362,814.8703499999999,809.3787,803.8870499999999,798.3954,792.90375,787.4121,781.92045,776.4288,770.93715,765.4455,759.95385,754.4621999999999,748.97055,743.4789,737.98725,732.4956,727.00395,721.5123,716.02065,710.529
