,40,20,10,5,2,1
1M,6.424,3.984,2.821,2.269,1.981,1.831
10M,6.745,4.493,3.534,3.112,3.251,3.761
100M,12.604,11.018,10.358,11.628,15.354,24.319
1G,67.114,66.332,73.518,93.116,146.442,234.824
