,40,20,10,5,2,1
1M,4.995,3.323,2.546,2.155,1.943,1.698
10M,5.133,3.641,2.897,2.513,2.271,1.926
100M,8.556,7.047,6.612,6.294,5.567,4.444
1G,44.385,43.278,41.436,42.192,45.672,32.582
