,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.0,0.873906330416881,0.8432378745240855,0.8146489684951222,0.7879350348027843,0.7603439011284256,0.7346197109976638,0.7105791764312019,0.688062241672745,0.6669285153181461,0.6471776498837519,0.6285629673502628,0.6109891691554821,0.5943713245589471,0.5786334980405521,0.5637075891375074,0.5495323473251561,0.536052531885339,0.5232181924629464,0.5109840505567258,0.4984441965596195,0.4865050713426165,0.4751245173204992,0.4642642314212282,0.4538893344025661,0.44396799665324477,0.4344711120208792,0.42537201262588303,0.41664621877607105,0.4082712190430392,0.40022627633998015,0.39249225648375013,0.3850514762574266,0.37788756843370275,0.3709853615905615,0.3643307728618632,0.35791071202731756,0.35171299556733915,0.3457262694954595,0.33993993993993993
10M,1.0,0.8480845442536328,0.8189936215450035,0.791832259832808,0.7664146438519698,0.7436867711792416,0.7222680567014176,0.7020485528905738,0.6829302886320119,0.6648256817397308,0.6481793094164366,0.6323461816271587,0.6172681238382155,0.6028923808927565,0.5891710003059039,0.576060297900341,0.5635203932354146,0.5515148044212816,0.5400100936466101,0.5289755561658884,0.5183550435999569,0.5081526040842171,0.49834402815152146,0.488906940143169,0.4798206278026905,0.4710658905248741,0.4626249039200615,0.454481098683279,0.44661905203598923,0.4390243902439024,0.43168370091447017,0.42458445394823857,0.4177149301639628,0.4110641567422205,0.4046218487394958,0.3983783560170438,0.3923246150085553,0.3864521048196155,0.3807528072117666,0.37521917007597894
100M,1.0,0.798275552362134,0.7649759008492082,0.7343431561553291,0.7060692723228472,0.6990059141814522,0.6920824767956145,0.6852948433259314,0.6786390568688535,0.6721113127646703,0.6677184283675156,0.6633825944170771,0.6591027067111606,0.654877689360448,0.6507064938868146,0.6465880983558853,0.6425215065423263,0.6385057471264368,0.6345398729206825,0.6306229601248758,0.6239426040196843,0.6174022978924408,0.6109976833233655,0.6047245808839539,0.5985789810418561,0.5925570356147579,0.5866550497349887,0.5808694742895982,0.5751968988033989,0.5696340447349869,0.5641777591580498,0.5588250088023742,0.5535728744308875,0.5484185455308331,0.5433593152987927,0.5383925759007536,0.5335158139897835,0.5287266064651224,0.524022616457659,0.5194015895278168
1G,1.0,0.7133911368015415,0.7319823867721064,0.7515685550839639,0.7722317026924536,0.7750090388384617,0.7778064245063213,0.7806240775880245,0.7834622191443521,0.7863210734626894,0.7828410243103109,0.7793916429849489,0.7759725258760711,0.7725832764246149,0.7692235049696626,0.7658928285990994,0.7625908710041334,0.7593172623375656,0.7560716390756906,0.7528536438837284,0.7518920185030699,0.7509328465706508,0.7499761187090063,0.7490218255883989,0.7480699579265179,0.747120506488176,0.7461734620850123,0.7452288155751954,0.7442865578631287,0.7433466798991594,0.7424091726792879,0.7414740272448808,0.7405412346823858,0.7396107861230475,0.7386826727426276,0.7377568857611246,0.7368334164424981,0.7359122560943935,0.7349933960678688,0.7340768277571252
