,40,20,10,5,2,1
1M,5.645,4.44,4.125,5.151,9.01,14.926
10M,12.204,13.339,17.587,31.07,69.656,134.357
100M,75.838,87.939,153.023,292.652,671.748,1331.327
1G,710.529,820.362,1515.083,2885.749,6723.284,13290.879
