,40,20,10,5,2,1
1M,4.793,3.207,2.426,2.071,1.855,1.655
10M,4.823,3.39,2.647,2.28,2.041,1.723
100M,6.871,5.533,4.843,4.343,3.996,2.514
1G,28.547,26.415,25.021,27.007,26.861,12.292
