,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.648,1.852,1.923,1.994,2.065,2.1366,2.2082,2.2798,2.3514,2.423,2.5002,2.5774,2.6546,2.7318,2.809,2.8861999999999997,2.9634,3.0406,3.1178,3.195,3.2727999999999997,3.3506,3.4284,3.5061999999999998,3.584,3.6618,3.7396000000000003,3.8174,3.8952,3.973,4.0508,4.1286000000000005,4.2064,4.2842,4.362,4.4398,4.5176,4.5954,4.6732000000000005,4.751
10M,1.672,2.054,2.1316666666666664,2.2093333333333334,2.287,2.3606,2.4341999999999997,2.5078,2.5814,2.655,2.7262,2.7973999999999997,2.8686,2.9398,3.011,3.0822,3.1534,3.2245999999999997,3.2958,3.367,3.43745,3.5079,3.57835,3.6488,3.7192499999999997,3.7897,3.86015,3.9306,4.00105,4.0715,4.14195,4.2124,4.28285,4.3533,4.42375,4.494199999999999,4.564649999999999,4.6350999999999996,4.70555,4.776
100M,1.903,3.945,4.131,4.317,4.503,4.5972,4.6914,4.7856000000000005,4.8798,4.974,5.0527,5.1314,5.210100000000001,5.2888,5.3675,5.4462,5.524900000000001,5.6036,5.6823,5.761,5.83155,5.9021,5.97265,6.0432,6.11375,6.1843,6.25485,6.3254,6.39595,6.4665,6.53705,6.6076,6.67815,6.7486999999999995,6.81925,6.889799999999999,6.96035,7.0309,7.10145,7.172
1G,4.075,23.295,24.293000000000003,25.291,26.289,26.587200000000003,26.8854,27.183600000000002,27.4818,27.78,27.9252,28.0704,28.215600000000002,28.3608,28.506,28.6512,28.7964,28.9416,29.0868,29.232,29.3113,29.3906,29.4699,29.5492,29.6285,29.7078,29.7871,29.8664,29.9457,30.025,30.104300000000002,30.183600000000002,30.262900000000002,30.342200000000002,30.4215,30.5008,30.5801,30.6594,30.7387,30.818
