,40,20,10,5,2,1
1M,1.894,1.746,1.744,1.75,1.774,1.751
10M,2.39,2.371,2.392,2.393,2.416,2.375
100M,8.969,8.945,8.83,8.778,8.868,8.977
1G,72.564,72.045,71.54599999999999,72.131,71.18299999999999,71.553
