,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1M,1.655,1.855,1.927,1.999,2.071,2.1420000000000003,2.213,2.2840000000000003,2.355,2.426,2.5041,2.5822000000000003,2.6603,2.7384,2.8165,2.8946,2.9727,3.0507999999999997,3.1289,3.207,3.2862999999999998,3.3655999999999997,3.4449,3.5242,3.6035,3.6828,3.7620999999999998,3.8414,3.9207,4.0,4.0793,4.1586,4.2379,4.3172,4.3965,4.4758,4.5550999999999995,4.6344,4.7137,4.793
10M,1.723,2.041,2.1206666666666667,2.200333333333333,2.28,2.3533999999999997,2.4267999999999996,2.5002,2.5736,2.647,2.7213,2.7956,2.8699,2.9442,3.0185,3.0928,3.1671,3.2414,3.3157,3.39,3.46165,3.5333,3.60495,3.6766,3.74825,3.8199,3.8915500000000005,3.9632000000000005,4.0348500000000005,4.1065000000000005,4.1781500000000005,4.2498000000000005,4.3214500000000005,4.3931000000000004,4.46475,4.5364,4.60805,4.6797,4.75135,4.823
100M,2.514,3.996,4.111666666666666,4.227333333333333,4.343,4.443,4.543,4.643,4.743,4.843,4.912,4.981,5.05,5.119,5.188000000000001,5.257000000000001,5.3260000000000005,5.3950000000000005,5.464,5.533,5.599900000000001,5.6668,5.733700000000001,5.8006,5.867500000000001,5.9344,6.0013000000000005,6.0682,6.1351,6.202,6.2689,6.335800000000001,6.4027,6.469600000000001,6.5365,6.603400000000001,6.6703,6.7372000000000005,6.8041,6.871
1G,12.292,26.861,26.909666666666666,26.958333333333336,27.007,26.6098,26.212600000000002,25.8154,25.418200000000002,25.021,25.1604,25.2998,25.4392,25.5786,25.718,25.8574,25.9968,26.1362,26.2756,26.415,26.5216,26.6282,26.7348,26.8414,26.948,27.0546,27.1612,27.2678,27.3744,27.481,27.5876,27.6942,27.8008,27.9074,28.014,28.1206,28.2272,28.3338,28.4404,28.547
